Size,Lambda,Conditional number,Optimal MSE,Optimal Time,Cholesky MSE,Cholesky Time,Cholesky Gap_sol,GD MSE,GD Time,GD Iterations,GD Gap_sol,GD Gap_pred,Fista MSE,Fista Time,Fista Iterations,Fista Gap_sol,Fista Gap_pred
50.0,0.1,136959.69079060765,1.951020686331845,1117.0,1.9510206863318371,11027.0,3.907271080795543e-12,1.9787534008423995,583290.0,40000.0,0.4105031628019731,0.010148056094193341,1.9510205419598643,131258.0,40000.0,0.00046263417863058647,1.033756289819005e-05
50.0,0.5,49619.41434910681,1.9782833031304046,1067.0,1.9782833031304146,13497.0,2.9542791461224787e-12,1.999855007445496,385640.0,40000.0,0.1970868691950836,0.003807648324473454,1.9782857195948498,344086.0,40000.0,0.00014111939764563567,2.728447593443136e-06
50.0,1.0,16579.975113236866,2.05198412525185,12263.0,2.051984125251896,14691.0,2.8100989954146516e-12,2.054951881603625,797708.0,40000.0,0.024462341097943468,0.00034079702063608507,2.0519833552072155,194780.0,37934.0,1.6070113502865672e-05,2.8259665430275884e-07
50.0,5.0,744.1899640696586,2.4153433547448167,11108.0,2.4153433547447842,9851.0,3.169218913231247e-13,2.4153435010089113,146166.0,8960.0,2.113304865544484e-06,1.9465551501815676e-08,2.4153433755521387,808482.0,6255.0,2.047205003402503e-06,2.738218163135434e-08
50.0,10.0,187.50084049307173,2.751943885019085,1163.0,2.7519438850190863,10033.0,7.994973914699916e-14,2.751943928677537,297641.0,2584.0,6.111324926663773e-07,6.291751636708891e-09,2.7519439105793233,271057.0,2285.0,5.971013925668147e-07,8.915409352529642e-09
50.0,20.0,47.669377676525066,3.7268621717142465,1032.0,3.7268621717142434,9992.0,2.4847226348084752e-14,3.726862183609704,76084.0,732.0,1.6973858110969037e-07,1.8058060218492415e-09,3.7268621154567487,84066.0,725.0,1.624227537357093e-07,5.023273771260519e-09
100.0,0.1,647835.9004602967,1.594904715195079,1114.0,1.594904715195028,38486.0,1.2522387553032072e-11,1.728694548668977,304420.0,40000.0,0.7510871658862317,0.02248075718432994,1.5949102939907127,637388.0,40000.0,0.001849972817516176,3.669167582140904e-05
100.0,0.5,124523.48521709259,1.6547619625758956,1101.0,1.6547619625756935,39352.0,7.918923467401787e-12,1.7360707707946879,978851.0,40000.0,0.4327137397533816,0.009393016375753672,1.654765148094899,223250.0,40000.0,0.0003732838828605503,7.296920776284818e-06
100.0,1.0,35333.20894690861,1.763085773004079,1084.0,1.7630857730038567,43088.0,1.173628500473003e-11,1.7876255433675063,42061.0,40000.0,0.1623549215929089,0.002229531305720376,1.7630879843482505,70161.0,40000.0,9.755069697938713e-05,1.28467645890811e-06
100.0,5.0,1478.082433708234,2.121134085613842,1064.0,2.1211340856138623,39332.0,7.258283408048521e-13,2.1211341650443036,90930.0,18571.0,3.134237576298595e-06,1.558914561701277e-08,2.1211340810878507,738491.0,12202.0,3.0633672161731783e-06,2.2271898123844687e-08
100.0,10.0,370.79223219839514,2.243393342509383,2139.0,2.2433933425093904,37778.0,2.171356857497138e-13,2.2433933504112344,548067.0,5225.0,8.803431942027121e-07,5.143187472442599e-09,2.2433933527748424,267322.0,4422.0,8.749941880525516e-07,7.386242436379088e-09
100.0,20.0,93.48071712084587,2.5192214675899267,1102.0,2.5192214675899343,38246.0,5.92847521482168e-14,2.519221469723051,422456.0,1465.0,2.3157878200275102e-07,1.761736520715821e-09,2.5192214604778007,456959.0,1407.0,2.1749385590553818e-07,3.0217545122052907e-09
200.0,0.1,4658606.451037266,1.3620330113251518,3731.0,1.3620330113246193,151772.0,1.0639679141215567e-10,1.6233324413485317,657434.0,40000.0,0.9208925645072495,0.03025368957844526,1.3620762128542605,561948.0,40000.0,0.006259658478340102,0.00010759062623989675
200.0,0.5,293477.1710271071,1.47916377486098,4001.0,1.479163774861634,160853.0,1.1610420273500179e-10,1.6361499778678268,54077.0,40000.0,0.6745441039667794,0.015491929381590264,1.4791535390908068,378353.0,40000.0,0.0008739567450001218,1.5628918545229238e-05
200.0,1.0,74712.31151543048,1.5922228900788193,4780.0,1.5922228900787119,173387.0,7.295351955397457e-12,1.6614091376215827,901961.0,40000.0,0.41363187666046153,0.006326753148604578,1.5922242689097932,442659.0,40000.0,0.0003140096086112717,4.090566694907688e-06
200.0,5.0,3007.0508503148603,2.0244539690888894,6515.0,2.024453969088858,166034.0,1.924758215796911e-12,2.024454005495055,754085.0,39144.0,3.649284251837844e-06,1.132263692114946e-08,2.0244539370390267,552802.0,23965.0,3.5772952572097873e-06,1.9570084345254838e-08
200.0,10.0,752.6510350884907,2.196014706593386,4871.0,2.1960147065933966,181500.0,4.69006958148201e-13,2.1960147227592812,471561.0,10936.0,1.1604854051098306e-06,4.113305981346707e-09,2.1960147064257356,174001.0,8546.0,1.1407430090033466e-06,7.348848556902243e-09
200.0,20.0,188.921405918096,2.4063304992660295,5003.0,2.4063304992660384,172005.0,1.2594704894680266e-13,2.40633050786967,556723.0,3022.0,3.178932920066275e-07,1.471507677127018e-09,2.4063304834212365,259906.0,2776.0,3.0059997477109977e-07,2.922605208841467e-09
